"Title","Authors","Editors","YearPublished","URL","DateAdded","Access type","Pub ID"
"Acts and Proceedings of the General Assemblies of the Kirk of Scotland, 1560-1618","Maitland Club","","1839","https://www.british-history.ac.uk/church-scotland-records/acts-proceedings/1560-1618","2008-03-28T00:00:00","Free content","595"
"Acts of the General Assembly of the Church of Scotland 1638-1842","","Church Law Society","1843","https://www.british-history.ac.uk/church-scotland-records/acts/1638-1842","2008-03-14T00:00:00","Free content","599"
"Acts of the Privy Council of England Volume 1, 1542-1547","","Dasent, John Roche","1890","https://www.british-history.ac.uk/acts-privy-council/vol1","2009-08-08T23:00:00","Free content, Free page scans","1176"
"Acts of the Privy Council of England Volume 10, 1577-1578","","Dasent, John Roche","1895","https://www.british-history.ac.uk/acts-privy-council/vol10","2010-09-09T23:00:00","Free content, Free page scans","1185"
"Acts of the Privy Council of England Volume 11, 1578-1580","","Dasent, John Roche","1895","https://www.british-history.ac.uk/acts-privy-council/vol11","2010-09-09T23:00:00","Free content, Free page scans","1186"
"Acts of the Privy Council of England Volume 12, 1580-1581","","Dasent, John Roche","1896","https://www.british-history.ac.uk/acts-privy-council/vol12","2010-09-09T23:00:00","Free content, Free page scans","1187"
"Acts of the Privy Council of England Volume 13, 1581-1582","","Dasent, John Roche","1896","https://www.british-history.ac.uk/acts-privy-council/vol13","2010-09-09T23:00:00","Free content, Free page scans","1188"
"Acts of the Privy Council of England Volume 14, 1586-1587","","Dasent, John Roche","1897","https://www.british-history.ac.uk/acts-privy-council/vol14","2010-09-09T23:00:00","Free content, Free page scans","1189"
"Acts of the Privy Council of England Volume 15, 1587-1588","","Dasent, John Roche","1897","https://www.british-history.ac.uk/acts-privy-council/vol15","2010-09-09T23:00:00","Free content, Free page scans","1190"
"Acts of the Privy Council of England Volume 16, 1588","","Dasent, John Roche","1897","https://www.british-history.ac.uk/acts-privy-council/vol16","2010-09-09T23:00:00","Free content, Free page scans","1191"
"Acts of the Privy Council of England Volume 17, 1588-1589","","Dasent, John Roche","1898","https://www.british-history.ac.uk/acts-privy-council/vol17","2010-09-09T23:00:00","Free content, Free page scans","1192"
"Acts of the Privy Council of England Volume 18, 1589-1590","","Dasent, John Roche","1899","https://www.british-history.ac.uk/acts-privy-council/vol18","2010-09-09T23:00:00","Free content, Free page scans","1193"
"Acts of the Privy Council of England Volume 19, 1590","","Dasent, John Roche","1899","https://www.british-history.ac.uk/acts-privy-council/vol19","2010-09-09T23:00:00","Free content, Free page scans","1194"
"Acts of the Privy Council of England Volume 2, 1547-1550","","Dasent, John Roche","1890","https://www.british-history.ac.uk/acts-privy-council/vol2","2009-10-08T23:00:00","Free content, Free page scans","1177"
